Date	Amount
1/10/1998	154.228
1/12/1998	154.20
1/13/1998	153.843
1/14/1998	154.151
1/15/1998	154.815
1/16/1998	154.654
1/19/1998	154.615
1/20/1998	155.96
1/21/1998	155.779
1/22/1998	155.20
1/23/1998	153.006
1/24/1998	152.329
1/26/1998	152.613
1/27/1998	151.20
1/28/1998	151.60
1/29/1998	153.163
1/30/1998	153.477
1/31/1998	154.70
2/1/1998	153.477
2/2/1998	153.437
2/3/1998	155.379
2/4/1998	154.394
2/5/1998	153.385
2/6/1998	152.087
2/9/1998	152.087
2/10/1998	153.737
2/11/1998	153.502
2/12/1998	154.503
2/13/1998	153.792
2/14/1998	154.703
2/16/1998	154.703
2/17/1998	154.128
2/18/1998	154.15
2/19/1998	154.638
2/20/1998	154.085
2/21/1998	154.60
2/23/1998	154.60
2/24/1998	153.892
2/25/1998	152.539
2/26/1998	153.051
2/27/1998	154.089
2/28/1998	153.694
3/2/1998	153.089
3/3/1998	153.089
3/4/1998	153.853
3/5/1998	153.992
3/6/1998	153.426
3/7/1998	155.40
3/9/1998	155.456
3/10/1998	154.87
3/11/1998	155.083
3/12/1998	155.623
3/13/1998	155.265
3/14/1998	154.80
3/16/1998	154.80
3/17/1998	154.483
3/18/1998	154.496
3/19/1998	154.664
3/20/1998	154.644
3/23/1998	155.982
3/24/1998	155.15
3/25/1998	155.003
3/26/1998	155.334
3/27/1998	154.983
3/30/1998	154.746
3/31/1998	155.575
4/1/1998	156.681
4/2/1998	157.026
4/3/1998	157.005
4/6/1998	157.00
4/7/1998	156.10
4/8/1998	156.21
4/14/1998	155.53
4/15/1998	154.19
4/16/1998	153.219
4/20/1998	153.422
4/21/1998	153.553
4/22/1998	152.30
4/23/1998	152.412
4/24/1998	152.226
4/27/1998	152.712
4/28/1998	152.30
4/29/1998	152.30
4/30/1998	152.894
5/4/1998	152.40
5/5/1998	151.595
5/6/1998	150.363
5/7/1998	150.60
5/8/1998	149.87
5/11/1998	150.781
5/12/1998	150.632
5/13/1998	150.64
5/14/1998	151.236
5/15/1998	150.888
5/18/1998	151.039
5/19/1998	151.888
5/20/1998	151.413
5/21/1998	151.10
5/22/1998	150.00
5/25/1998	149.844
5/26/1998	150.074
5/27/1998	150.459
5/28/1998	149.871
5/29/1998	151.715
6/1/1998	151.50
6/2/1998	151.674
6/3/1998	151.291
6/4/1998	150.745
6/5/1998	150.409
6/8/1998	150.616
6/9/1998	150.895
6/10/1998	150.993
6/11/1998	151.391
6/12/1998	152.631
6/13/1998	153.462
6/14/1998	152.319
6/15/1998	153.46
6/16/1998	154.049
6/17/1998	152.695
6/18/1998	151.40
6/19/1998	151.555
6/20/1998	152.074
6/23/1998	152.785
6/25/1998	153.096
6/26/1998	152.831
6/27/1998	152.90
6/29/1998	153.794
6/30/1998	154.472
7/1/1998	153.212
7/2/1998	154.038
7/3/1998	154.677
7/6/1998	154.367
7/7/1998	153.633
7/8/1998	154.105
7/9/1998	154.337
7/10/1998	155.141
7/13/1998	154.447
7/14/1998	153.856
7/15/1998	152.931
7/16/1998	152.90
7/17/1998	151.831
7/20/1998	151.731
7/21/1998	151.854
7/22/1998	151.712
7/23/1998	151.863
7/24/1998	152.01
7/27/1998	151.599
7/28/1998	151.10
7/29/1998	151.562
7/30/1998	150.49
7/31/1998	150.00
8/1/1998	151.18
8/3/1998	151.18
8/4/1998	151.905
8/5/1998	150.876
8/6/1998	150.801
8/7/1998	151.027
8/10/1998	151.955
8/11/1998	152.156
8/12/1998	151.519
8/13/1998	152.462
8/14/1998	152.377
8/17/1998	153.512
8/18/1998	152.571
8/19/1998	152.613
8/20/1998	152.89
8/21/1998	153.261
8/22/1998	152.712
8/23/1998	152.761
8/24/1998	153.487
8/25/1998	152.40
8/26/1998	153.497
8/27/1998	151.00
8/28/1998	152.21
8/30/1998	152.00
8/31/1998	150.66
9/1/1998	149.762
9/2/1998	149.36
9/3/1998	149.00
9/4/1998	148.456
9/5/1998	147.816
9/6/1998	148.856
9/7/1998	146.835
9/8/1998	147.51
9/9/1998	148.391
9/10/1998	145.53
9/11/1998	147.98
9/12/1998	144.00
9/13/1998	144.00
9/14/1998	145.334
9/15/1998	144.882
9/16/1998	144.225
9/17/1998	144.049
9/18/1998	144.189
9/20/1998	144.189
9/21/1998	143.923
9/22/1998	143.331
9/23/1998	144.179
9/24/1998	143.542
9/25/1998	142.819
9/26/1998	142.016
9/27/1998	143.00
9/28/1998	143.738
9/30/1998	143.01
10/1/1998	142.066
10/2/1998	139.857
10/4/1998	140.00
10/5/1998	139.496
10/6/1998	139.386
10/7/1998	137.518
10/8/1998	137.051
10/9/1998	139.656
10/12/1998	139.60
10/13/1998	139.60
10/14/1998	140.259
10/15/1998	139.456
10/16/1998	138.351
10/19/1998	138.251
10/20/1998	139.255
10/21/1998	140.058
10/22/1998	141.263
10/23/1998	139.958
10/26/1998	140.254
10/27/1998	140.298
10/28/1998	141.037
10/29/1998	140.66
10/30/1998	141.464
11/1/1998	141.664
11/2/1998	140.901
11/3/1998	141.815
11/4/1998	142.819
11/5/1998	142.568
11/6/1998	142.317
11/9/1998	141.70
11/10/1998	144.576
